townname,state_id
Auburn,5
Beaumont,5
Carmel,5
Concord,5
Danville,5
Eureka,5
Fairfield,5
Glendale,5
Lafayette,5
Lancaster,5
Orange,5
Palm Springs,5
Sun City,5
Westminster,5
Aurora,6
Bridgeport,7
Bristol,7
Manchester,7
Middletown,7
Milford,7
Dover,8
Smyrna,8
Wilmington,8
Englewood,9
Gainesville,9
Jacksonville,9
Leesburg,9
Live Oak,9
Augusta,10
Columbus,10
Covington,10
Gainesville,10
Meridian,12
Springfield,13
Greenfield,14
Lafayette,14
Richmond,14
Kansas City,16
Richmond,17
Portland,19
Cambridge,20
Columbia,20
Laurel,20
Salisbury,20
Springfield,21
Jackson,22
Rochester,22
Saint Joseph,22
Columbia,25
Springfield,25
Henderson,28
Concord,29
Portsmouth,29
Salem,29
Greenville,33
Ashland,35
Canton,35
Columbus,35
Fairfield,35
Lancaster,35
Mansfield,35
Mason,35
Middletown,35
Milford,35
Mount Vernon,35
Newark,35
Springfield,35
Troy,35
Uniontown,35
Charleston,40
Franklin,42
